numero;despacho;data
112020010313;9.2;2022-02-01
112020010704;9.1;2022-02-01
112020013803;9.1;2022-02-01
122013032932;9.2;2022-02-01
122015013885;9.1;2022-02-01
122015020126;9.1;2022-02-01
122015021369;9.1;2022-02-01
122016011565;9.1;2022-02-01
122016018263;9.1;2022-02-01
122016030038;9.1;2022-02-01
122017012037;9.1;2022-02-01
122018014483;9.1;2022-02-01
122020004383;9.1;2022-02-01
122020006539;9.1;2022-02-01
122020008462;9.2;2022-02-01
122020010829;9.1;2022-02-01
122020012912;11.2;2022-02-01
122020013775;9.1;2022-02-01
122020015829;9.1;2022-02-01
122020017288;9.1;2022-02-01
122020017346;9.1;2022-02-01
122020017367;9.2;2022-02-01
122020018176;9.2;2022-02-01
122020019067;11.2;2022-02-01
122020019873;9.2;2022-02-01
122020020290;9.1;2022-02-01
122020023241;9.2;2022-02-01
122020023248;9.2;2022-02-01
122021004758;9.1;2022-02-01
122021009064;9.1;2022-02-01
122021010320;9.1;2022-02-01
122021011439;9.1;2022-02-01
122021016582;9.2;2022-02-01
122021016957;9.2;2022-02-01
122021021712;9.1;2022-02-01
122021021790;9.2;2022-02-01
122021022085;9.2;2022-02-01
132019015746;9.2;2022-02-01
202012009173;9.1;2022-02-01
202013014758;9.1;2022-02-01
202015022005;9.1;2022-02-01
202015026802;9.1;2022-02-01
202016002924;11.2;2022-02-01
202016007550;9.1;2022-02-01
202016010606;9.1;2022-02-01
202016018445;9.1;2022-02-01
202016019558;9.1;2022-02-01
202016020753;9.2;2022-02-01
202016020918;9.2;2022-02-01
202016023400;9.2;2022-02-01
202016023933;9.2;2022-02-01
202019013922;9.2;2022-02-01
202019016436;9.1;2022-02-01
202020025963;9.1;2022-02-01
202021009600;9.2;2022-02-01
212015027237;9.1;2022-02-01
212018069918;11.2;2022-02-01
PI0501541;9.2;2022-02-01
PI0519370;9.2;2022-02-01
PI0611993;9.2;2022-02-01
PI0612778;9.1;2022-02-01
PI0717150;9.1;2022-02-01
PI0811501;9.1;2022-02-01
PI0813707;9.1;2022-02-01
PI0906474;9.2;2022-02-01
PI0913954;9.1;2022-02-01
PI0919811;9.1;2022-02-01
PI0921964;9.1;2022-02-01
PI0922538;9.2;2022-02-01
PI1002159;9.2;2022-02-01
PI1007346;9.1;2022-02-01
PI1011404;9.1;2022-02-01
PI1013510;11.2;2022-02-01
PI1013958;9.1;2022-02-01
PI1014164;9.1;2022-02-01
PI1102029;9.1;2022-02-01
